2025-10-18T01:17:04,ARRIVE,-1,ARRIVE testfile1.txt
2025-10-18T01:17:04,FORWARD,1,PUT testfile1.txt
2025-10-18T01:17:05,ARRIVE,-1,ARRIVE testfile2.txt
2025-10-18T01:17:05,FORWARD,2,PUT testfile2.txt
2025-10-18T01:17:06,ARRIVE,-1,ARRIVE testfile3.txt
2025-10-18T01:17:06,FORWARD,3,PUT testfile3.txt
2025-10-18T01:17:07,ARRIVE,-1,ARRIVE testfile1.txt
2025-10-18T01:17:07,FORWARD,1,GET testfile1.txt
2025-10-18T01:17:08,ARRIVE,-1,ARRIVE testfile2.txt
2025-10-18T01:17:08,FORWARD,2,GET testfile2.txt
2025-10-18T01:17:09,ARRIVE,-1,ARRIVE testfile3.txt
2025-10-18T01:17:09,FORWARD,3,GET testfile3.txt
