3,PUT bench_t2_tiger_is_back.gdt,40953807871,40953807882,40953807982,0.011,0.111
1,PUT bench_t1_client_file_1.txt,40953807716,40953807743,40953807906,0.026,0.189
0,PUT bench_t0_tiger_is_back.gdt,40953807693,40953807738,40953807903,0.045,0.209
4,PUT bench_t5_client_file_2.txt,40953807887,40953808028,40953808099,0.141,0.211
5,PUT bench_t6_client_file_7.txt,40953807901,40953808030,40953808111,0.128,0.209
6,PUT bench_t4_client_file_6.txt,40953807942,40953808031,40953808181,0.089,0.239
2,PUT bench_t3_client_file_4.txt,40953807852,40953807863,40953807966,0.010,0.113
9,GET bench_t1_tiger_is_back.gdt,40953808022,40953808209,40953808239,0.186,0.216
10,GET bench_t3_client_file_0.txt,40953808263,40953808370,40953808425,0.107,0.161
8,GET bench_t0_client_file_5.txt,40953807983,40953808200,40953808235,0.217,0.252
7,PUT bench_t7_tiger_is_back.gdt,40953807964,40953808126,40953808440,0.161,0.475
13,GET bench_t6_client_file_6.txt,40953808312,40953808508,40953808536,0.195,0.224
12,GET bench_t5_client_file_3.txt,40953808298,40953808445,40953808476,0.146,0.177
14,GET bench_t4_client_file_2.txt,40953808338,40953808540,40953808661,0.201,0.322
15,PUT bench_t0_client_file_0.txt,40953808574,40953808583,40953808677,0.009,0.103
11,GET bench_t2_client_file_7.txt,40953808284,40953808387,40953808682,0.103,0.397
16,PUT bench_t1_tiger_is_back.gdt,40953808592,40953808635,40953808747,0.042,0.154
17,GET bench_t7_client_file_2.txt,40953808611,40953808782,40953808823,0.170,0.212
19,PUT bench_t3_client_file_4.txt,40953808734,40953808797,40953808876,0.062,0.141
20,PUT bench_t6_client_file_5.txt,40953808750,40953808804,40953808938,0.053,0.187
21,GET bench_t0_client_file_6.txt,40953808773,40953808905,40953809003,0.131,0.230
18,PUT bench_t5_client_file_1.txt,40953808717,40953808791,40953808983,0.073,0.265
23,GET bench_t1_client_file_5.txt,40953808941,40953808967,40953809099,0.026,0.158
25,GET bench_t3_client_file_7.txt,40953809023,40953809078,40953809104,0.055,0.081
27,GET bench_t5_client_file_7.txt,40953809150,40953809156,40953809184,0.005,0.033
26,GET bench_t6_tiger.gdt,40953809134,40953809156,40953809193,0.022,0.059
28,PUT bench_t5_client_file_3.txt,40953809744,40953809751,40953809819,0.006,0.075
24,PUT bench_t2_client_file_2.txt,40953808999,40953809049,40953809835,0.050,0.835
22,PUT bench_t4_tiger.gdt,40953808884,40953808898,40953809829,0.013,0.944
29,GET bench_t2_client_file_5.txt,40953809879,40953809885,40953810004,0.005,0.125
32,GET bench_t4_client_file_4.txt,40953809971,40953810034,40953810067,0.063,0.096
33,PUT bench_t1_tiger.gdt,40953809987,40953810029,40953810096,0.041,0.109
34,GET bench_t5_client_file_4.txt,40953810002,40953810088,40953810115,0.086,0.112
36,PUT bench_t0_client_file_3.txt,40953810032,40953810161,40953810225,0.129,0.193
37,GET bench_t1_client_file_4.txt,40953810287,40953810293,40953810330,0.006,0.043
30,PUT bench_t6_client_file_6.txt,40953809918,40953809923,40953810627,0.005,0.708
35,PUT bench_t3_tiger_is_back.gdt,40953810017,40953810120,40953810634,0.103,0.617
31,PUT bench_t7_client_file_2.txt,40953809946,40953809951,40953810668,0.005,0.721
39,PUT bench_t2_tiger.gdt,40953810321,40953810359,40953810680,0.037,0.359
40,GET bench_t0_tiger.gdt,40953810334,40953810651,40953810700,0.317,0.366
42,GET bench_t6_client_file_4.txt,40953810705,40953810719,40953810747,0.013,0.041
38,PUT bench_t4_client_file_0.txt,40953810306,40953810665,40953810738,0.359,0.431
43,GET bench_t2_client_file_7.txt,40953810770,40953810776,40953810822,0.005,0.051
41,PUT bench_t1_tiger_is_back.gdt,40953810610,40953810699,40953810840,0.089,0.230
44,PUT bench_t5_tiger.gdt,40953810830,40953810840,40953810916,0.010,0.085
45,GET bench_t4_client_file_5.txt,40953810970,40953810977,40953811010,0.006,0.039
47,GET bench_t1_client_file_1.txt,40953811014,40953811042,40953811071,0.027,0.057
46,PUT bench_t0_client_file_7.txt,40953810990,40953811019,40953811090,0.028,0.099
48,GET bench_t7_client_file_1.txt,40953811042,40953811047,40953811173,0.004,0.131
50,GET bench_t5_client_file_4.txt,40953811143,40953811152,40953811193,0.008,0.049
49,PUT bench_t2_client_file_1.txt,40953811125,40953811131,40953811237,0.005,0.112
51,GET bench_t3_client_file_2.txt,40953811223,40953811229,40953811270,0.006,0.046
52,PUT bench_t4_tiger_is_back.gdt,40953811252,40953811267,40953811325,0.015,0.073
53,GET bench_t0_client_file_5.txt,40953811270,40953811308,40953811334,0.037,0.063
54,PUT bench_t1_client_file_5.txt,40953811294,40953811336,40953811432,0.041,0.137
55,PUT bench_t6_client_file_7.txt,40953811315,40953811426,40953811510,0.111,0.194
58,GET bench_t4_tiger_is_back.gdt,40953811547,40953811553,40953811586,0.006,0.039
59,GET bench_t2_tiger.gdt,40953811562,40953811567,40953811621,0.005,0.059
60,GET bench_t1_client_file_3.txt,40953811581,40953811610,40953811637,0.028,0.055
61,GET bench_t6_tiger_is_back.gdt,40953811685,40953811696,40953811738,0.010,0.053
56,PUT bench_t7_client_file_4.txt,40953811332,40953811428,40953811934,0.095,0.601
57,PUT bench_t3_client_file_1.txt,40953811524,40953811529,40953811937,0.005,0.413
63,GET bench_t7_client_file_2.txt,40953812090,40953812097,40953812133,0.007,0.042
62,PUT bench_t2_client_file_5.txt,40953812042,40953812050,40953812142,0.007,0.099
65,PUT bench_t4_client_file_1.txt,40953812146,40953812151,40953812246,0.004,0.099
66,PUT bench_t0_client_file_0.txt,40953812166,40953812172,40953812248,0.005,0.081
67,GET bench_t3_client_file_0.txt,40953812200,40953812249,40953812280,0.048,0.079
68,GET bench_t2_client_file_6.txt,40953812221,40953812303,40953812338,0.081,0.116
70,GET bench_t4_client_file_5.txt,40953812354,40953812359,40953812400,0.005,0.046
71,GET bench_t0_client_file_5.txt,40953812390,40953812420,40953812454,0.030,0.063
69,PUT bench_t7_client_file_6.txt,40953812280,40953812337,40953812775,0.056,0.494
64,PUT bench_t5_tiger_is_back.gdt,40953812122,40953812128,40953812784,0.005,0.661
73,GET bench_t7_tiger_is_back.gdt,40953812913,40953812919,40953812957,0.005,0.044
74,GET bench_t5_client_file_3.txt,40953812930,40953812937,40953812977,0.006,0.046
72,PUT bench_t3_client_file_1.txt,40953812891,40953812898,40953812983,0.006,0.092
75,GET bench_t3_client_file_7.txt,40953813164,40953813172,40953813216,0.007,0.051
76,PUT bench_t6_client_file_2.txt,40953813979,40953813984,40953814048,0.004,0.069
77,GET bench_t6_tiger.gdt,40953814147,40953814152,40953814182,0.005,0.035
78,PUT bench_t7_client_file_7.txt,40953814164,40953814170,40953814238,0.005,0.074
79,GET bench_t7_client_file_4.txt,40953814287,40953814292,40953814318,0.004,0.030
